UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,INDEPENDENT (1) ,INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2) ,INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3) ,INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,match valid,match total
P.186_P.186/POSTAL VOTE_186/45/UNDI POS_1,SABAH,POSTAL VOTE,P.186,SANDAKAN,P.186/POSTAL VOTE,POSTAL VOTE,186/45/UNDI POS,UNDI POS,UNDI POS,1,177,DAP,VIVIAN WONG SHIR YEE,FEMALE,30,106,PBS,LINDA TSEN THAU LIN,FEMALE,64,32,INDEPENDENT - TREE,HJ. HAMZAH HJ.ABDULLAH,MALE,65,9,INDEPENDENT - CHAIR,SULAIMAN BIN ABDUL SAMAT,MALE,36,3,INDEPENDENT - KEY,CHIA SIEW YUNG,MALE,46,1,151,10,16,1,1
P.186_N.45_186/45/00_1,SABAH,EARLY VOTE,P.186,SANDAKAN,N.45,ELOPURA,186/45/00,UNDI AWAL,RUMAH KELAB IPD SANDAKAN,1,62,DAP,VIVIAN WONG SHIR YEE,FEMALE,30,30,PBS,LINDA TSEN THAU LIN,FEMALE,64,27,INDEPENDENT - TREE,HJ. HAMZAH HJ.ABDULLAH,MALE,65,4,INDEPENDENT - CHAIR,SULAIMAN BIN ABDUL SAMAT,MALE,36,0,INDEPENDENT - KEY,CHIA SIEW YUNG,MALE,46,0,61,1,0,1,1
P.186_N.46_186/46/00_1,SABAH,EARLY VOTE,P.186,SANDAKAN,N.46,TANJONG PAPAT,186/46/00,UNDI AWAL,MES PEGAWAI KANAN PASUKAN POLIS MARIN,1,143,DAP,VIVIAN WONG SHIR YEE,FEMALE,30,51,PBS,LINDA TSEN THAU LIN,FEMALE,64,72,INDEPENDENT - TREE,HJ. HAMZAH HJ.ABDULLAH,MALE,65,16,INDEPENDENT - CHAIR,SULAIMAN BIN ABDUL SAMAT,MALE,36,2,INDEPENDENT - KEY,CHIA SIEW YUNG,MALE,46,1,142,1,0,1,1
P.186_N.45_186/45/01_1a,SABAH,ORDINARY VOTE,P.186,SANDAKAN,N.45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH MENENGAH KEBANGSAAN MUHIBBAH,1,234,DAP,VIVIAN WONG SHIR YEE,FEMALE,30,188,PBS,LINDA TSEN THAU LIN,FEMALE,64,36,INDEPENDENT - TREE,HJ. HAMZAH HJ.ABDULLAH,MALE,65,7,INDEPENDENT - CHAIR,SULAIMAN BIN ABDUL SAMAT,MALE,36,0,INDEPENDENT - KEY,CHIA SIEW YUNG,MALE,46,2,233,1,0,1,1
P.186_N.45_186/45/01_2a,SABAH,ORDINARY VOTE,P.186,SANDAKAN,N.45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH MENENGAH KEBANGSAAN MUHIBBAH,2,221,DAP,VIVIAN WONG SHIR YEE,FEMALE,30,165,PBS,LINDA TSEN THAU LIN,FEMALE,64,36,INDEPENDENT - TREE,HJ. HAMZAH HJ.ABDULLAH,MALE,65,18,INDEPENDENT - CHAIR,SULAIMAN BIN ABDUL SAMAT,MALE,36,0,INDEPENDENT - KEY,CHIA SIEW YUNG,MALE,46,1,220,1,0,1,1
P.186_N.45_186/45/01_3a,SABAH,ORDINARY VOTE,P.186,SANDAKAN,N.45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH MENENGAH KEBANGSAAN MUHIBBAH,3,211,DAP,VIVIAN WONG SHIR YEE,FEMALE,30,165,PBS,LINDA TSEN THAU LIN,FEMALE,64,34,INDEPENDENT - TREE,HJ. HAMZAH HJ.ABDULLAH,MALE,65,11,INDEPENDENT - CHAIR,SULAIMAN BIN ABDUL SAMAT,MALE,36,1,INDEPENDENT - KEY,CHIA SIEW YUNG,MALE,46,0,211,0,0,1,1
P.186_N.45_186/45/01_4a,SABAH,ORDINARY VOTE,P.186,SANDAKAN,N.45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH MENENGAH KEBANGSAAN MUHIBBAH,4,200,DAP,VIVIAN WONG SHIR YEE,FEMALE,30,140,PBS,LINDA TSEN THAU LIN,FEMALE,64,40,INDEPENDENT - TREE,HJ. HAMZAH HJ.ABDULLAH,MALE,65,16,INDEPENDENT - CHAIR,SULAIMAN BIN ABDUL SAMAT,MALE,36,1,INDEPENDENT - KEY,CHIA SIEW YUNG,MALE,46,1,198,2,0,1,1
P.186_N.45_186/45/01_5a,SABAH,ORDINARY VOTE,P.186,SANDAKAN,N.45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH MENENGAH KEBANGSAAN MUHIBBAH,5,184,DAP,VIVIAN WONG SHIR YEE,FEMALE,30,129,PBS,LINDA TSEN THAU LIN,FEMALE,64,43,INDEPENDENT - TREE,HJ. HAMZAH HJ.ABDULLAH,MALE,65,11,INDEPENDENT - CHAIR,SULAIMAN BIN ABDUL SAMAT,MALE,36,0,INDEPENDENT - KEY,CHIA SIEW YUNG,MALE,46,0,183,1,0,1,1
P.186_N.45_186/45/01_6a,SABAH,ORDINARY VOTE,P.186,SANDAKAN,N.45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH MENENGAH KEBANGSAAN MUHIBBAH,6,170,DAP,VIVIAN WONG SHIR YEE,FEMALE,30,126,PBS,LINDA TSEN THAU LIN,FEMALE,64,34,INDEPENDENT - TREE,HJ. HAMZAH HJ.ABDULLAH,MALE,65,4,INDEPENDENT - CHAIR,SULAIMAN BIN ABDUL SAMAT,MALE,36,1,INDEPENDENT - KEY,CHIA SIEW YUNG,MALE,46,4,169,1,0,1,1
P.186_N.45_186/45/01_1b,SABAH,ORDINARY VOTE,P.186,SANDAKAN,N.45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH KEBANGSAAN MUHIBBAH,1,230,DAP,VIVIAN WONG SHIR YEE,FEMALE,30,124,PBS,LINDA TSEN THAU LIN,FEMALE,64,76,INDEPENDENT - TREE,HJ. HAMZAH HJ.ABDULLAH,MALE,65,18,INDEPENDENT - CHAIR,SULAIMAN BIN ABDUL SAMAT,MALE,36,4,INDEPENDENT - KEY,CHIA SIEW YUNG,MALE,46,2,224,6,0,1,1
P.186_N.45_186/45/01_2b,SABAH,ORDINARY VOTE,P.186,SANDAKAN,N.45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH KEBANGSAAN MUHIBBAH,2,246,DAP,VIVIAN WONG SHIR YEE,FEMALE,30,162,PBS,LINDA TSEN THAU LIN,FEMALE,64,61,INDEPENDENT - TREE,HJ. HAMZAH HJ.ABDULLAH,MALE,65,12,INDEPENDENT - CHAIR,SULAIMAN BIN ABDUL SAMAT,MALE,36,6,INDEPENDENT - KEY,CHIA SIEW YUNG,MALE,46,1,242,4,0,1,1
P.186_N.45_186/45/01_3b,SABAH,ORDINARY VOTE,P.186,SANDAKAN,N.45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH KEBANGSAAN MUHIBBAH,3,212,DAP,VIVIAN WONG SHIR YEE,FEMALE,30,113,PBS,LINDA TSEN THAU LIN,FEMALE,64,68,INDEPENDENT - TREE,HJ. HAMZAH HJ.ABDULLAH,MALE,65,17,INDEPENDENT - CHAIR,SULAIMAN BIN ABDUL SAMAT,MALE,36,5,INDEPENDENT - KEY,CHIA SIEW YUNG,MALE,46,5,208,4,0,1,1
P.186_N.45_186/45/01_4b,SABAH,ORDINARY VOTE,P.186,SANDAKAN,N.45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH KEBANGSAAN MUHIBBAH,4,182,DAP,VIVIAN WONG SHIR YEE,FEMALE,30,99,PBS,LINDA TSEN THAU LIN,FEMALE,64,49,INDEPENDENT - TREE,HJ. HAMZAH HJ.ABDULLAH,MALE,65,23,INDEPENDENT - CHAIR,SULAIMAN BIN ABDUL SAMAT,MALE,36,5,INDEPENDENT - KEY,CHIA SIEW YUNG,MALE,46,1,177,5,0,1,1
P.186_N.45_186/45/02_1,SABAH,ORDINARY VOTE,P.186,SANDAKAN,N.45,ELOPURA,186/45/02,BEATRICE,SEKOLAH MENENGAH KEBANGSAAN KONVEN ST CECILIA,1,198,DAP,VIVIAN WONG SHIR YEE,FEMALE,30,158,PBS,LINDA TSEN THAU LIN,FEMALE,64,32,INDEPENDENT - TREE,HJ. HAMZAH HJ.ABDULLAH,MALE,65,4,INDEPENDENT - CHAIR,SULAIMAN BIN ABDUL SAMAT,MALE,36,1,INDEPENDENT - KEY,CHIA SIEW YUNG,MALE,46,0,195,3,0,1,1
P.186_N.45_186/45/02_2,SABAH,ORDINARY VOTE,P.186,SANDAKAN,N.45,ELOPURA,186/45/02,BEATRICE,SEKOLAH MENENGAH KEBANGSAAN KONVEN ST CECILIA,2,226,DAP,VIVIAN WONG SHIR YEE,FEMALE,30,190,PBS,LINDA TSEN THAU LIN,FEMALE,64,34,INDEPENDENT - TREE,HJ. HAMZAH HJ.ABDULLAH,MALE,65,1,INDEPENDENT - CHAIR,SULAIMAN BIN ABDUL SAMAT,MALE,36,0,INDEPENDENT - KEY,CHIA SIEW YUNG,MALE,46,0,225,1,0,1,1
P.186_N.45_186/45/02_3,SABAH,ORDINARY VOTE,P.186,SANDAKAN,N.45,ELOPURA,186/45/02,BEATRICE,SEKOLAH MENENGAH KEBANGSAAN KONVEN ST CECILIA,3,313,DAP,VIVIAN WONG SHIR YEE,FEMALE,30,240,PBS,LINDA TSEN THAU LIN,FEMALE,64,58,INDEPENDENT - TREE,HJ. HAMZAH HJ.ABDULLAH,MALE,65,9,INDEPENDENT - CHAIR,SULAIMAN BIN ABDUL SAMAT,MALE,36,2,INDEPENDENT - KEY,CHIA SIEW YUNG,MALE,46,2,311,2,0,1,1
